status,group,experiment,variant,display,change,purpose,seed,alpha,spearman_rho,validity,uniqueness,novelty,mae,slope,warning,output_dir,config,command
complete_fail,destructive_drift,ext_D_ATTR_qed_s42,D_ATTR,D-ATTR,attraction only,attraction-only drift; removes repulsive term V-,42,alpha=3.0,0.03325980246345143,1.0,0.0051,1.0,0.2615920912545842,0.014333022456294232,quality_gate_failed,/root/autodl-tmp/DriftingMol/outputs/publication_ext/destructive/ext_D_ATTR_qed_s42,configs/publication_ext/destructive/ext_D_ATTR_qed_s42.yaml,python -m src.train.train_selfies_cfg --config configs/publication_ext/destructive/ext_D_ATTR_qed_s42.yaml
complete_fail,destructive_drift,ext_D_BROKEN_ATTR_qed_s42,D_BROKEN_ATTR,D-BROKEN-A,1.5x attraction,broken anti-symmetry with overweighted attraction,42,alpha=1.0,0.5897980877756879,1.0,0.0276,1.0,0.34256794239188343,0.2126503761181723,quality_gate_failed,/root/autodl-tmp/DriftingMol/outputs/publication_ext/destructive/ext_D_BROKEN_ATTR_qed_s42,configs/publication_ext/destructive/ext_D_BROKEN_ATTR_qed_s42.yaml,python -m src.train.train_selfies_cfg --config configs/publication_ext/destructive/ext_D_BROKEN_ATTR_qed_s42.yaml
complete_pass,destructive_drift,ext_D_BROKEN_REPL_qed_s42,D_BROKEN_REPL,D-BROKEN-R,1.5x repulsion,broken anti-symmetry with overweighted repulsion,42,alpha=3.0,0.15366574433279384,1.0,0.9732,1.0,0.34654143018125116,0.2261432712706399,,/root/autodl-tmp/DriftingMol/outputs/publication_ext/destructive/ext_D_BROKEN_REPL_qed_s42,configs/publication_ext/destructive/ext_D_BROKEN_REPL_qed_s42.yaml,python -m src.train.train_selfies_cfg --config configs/publication_ext/destructive/ext_D_BROKEN_REPL_qed_s42.yaml
complete_pass,destructive_drift,ext_D_NOCROSS_qed_s42,D_NOCROSS,D-NOCROSS,no cross-multiplication,remove cross-multiplication while keeping bidimensional softmax,42,alpha=2.0,0.21644279146225537,1.0,0.9213,1.0,0.29357106006099776,0.3027328867788032,,/root/autodl-tmp/DriftingMol/outputs/publication_ext/destructive/ext_D_NOCROSS_qed_s42,configs/publication_ext/destructive/ext_D_NOCROSS_qed_s42.yaml,python -m src.train.train_selfies_cfg --config configs/publication_ext/destructive/ext_D_NOCROSS_qed_s42.yaml
complete_pass,destructive_drift,ext_D_NONORM_qed_s42,D_NONORM,D-NONORM,no normalization,remove normalized attention and use raw exponentiated kernel,42,alpha=3.0,0.4465882880619366,1.0,0.9655,0.9989642672190575,0.14822040009249413,0.551843115011415,,/root/autodl-tmp/DriftingMol/outputs/publication_ext/destructive/ext_D_NONORM_qed_s42,configs/publication_ext/destructive/ext_D_NONORM_qed_s42.yaml,python -m src.train.train_selfies_cfg --config configs/publication_ext/destructive/ext_D_NONORM_qed_s42.yaml
complete_pass,destructive_drift,ext_D_REPL_qed_s42,D_REPL,D-REPL,repulsion only,repulsion-only drift; removes attractive term V+,42,alpha=1.5,0.003341397398353601,1.0,0.9682,1.0,0.5579069701729624,0.0036185378847389997,,/root/autodl-tmp/DriftingMol/outputs/publication_ext/destructive/ext_D_REPL_qed_s42,configs/publication_ext/destructive/ext_D_REPL_qed_s42.yaml,python -m src.train.train_selfies_cfg --config configs/publication_ext/destructive/ext_D_REPL_qed_s42.yaml
complete_pass,destructive_drift,ext_D_YONLY_qed_s42,D_YONLY,D-YONLY,y-only normalization,remove x-axis component of bidimensional normalization,42,alpha=3.0,0.48957671687031773,1.0,0.9748,0.9989741485432909,0.14621147458883424,0.6418801830410019,,/root/autodl-tmp/DriftingMol/outputs/publication_ext/destructive/ext_D_YONLY_qed_s42,configs/publication_ext/destructive/ext_D_YONLY_qed_s42.yaml,python -m src.train.train_selfies_cfg --config configs/publication_ext/destructive/ext_D_YONLY_qed_s42.yaml
