status,experiment,display,purpose,vae_run,vae_exact_recon,vae_prior_vun,best_alpha,quality_gate,spearman_rho,mae,slope,validity,uniqueness,novelty,int_div,success_0p10,output_dir,config,vae_checkpoint,latent_cache
complete_pass,ext_vae_lowbeta_drift_qed_s42,Low-beta VAE,downstream DriftingMol check using the completed low-beta SELFIES VAE,ext_V_BETA_LOW_vae_s42,0.969,0.9882,alpha=3.0,pass,0.43698053837699524,0.15218726779220418,0.6819767309238751,1.0,0.9698,0.9998968859558672,0.8783455522444201,,outputs/publication_ext/vae_drift/ext_vae_lowbeta_drift_qed_s42,configs/publication_ext/vae_drift/ext_vae_lowbeta_drift_qed_s42.yaml,outputs/publication_ext/vae_sensitivity/ext_V_BETA_LOW_vae_s42/best.pt,data/cache/zinc_latent_cache_ext_vae_lowbeta_s42.pt
complete_pass,ext_vae_highbeta_drift_qed_s42,High-beta VAE,downstream DriftingMol check using the completed high-beta SELFIES VAE,ext_V_BETA_HIGH_vae_s42,0.184,0.9856,alpha=5.0,pass,0.2818544253458171,0.28001534465095734,0.411966294891416,1.0,0.9742,1.0,0.9013699334637483,,outputs/publication_ext/vae_drift/ext_vae_highbeta_drift_qed_s42,configs/publication_ext/vae_drift/ext_vae_highbeta_drift_qed_s42.yaml,outputs/publication_ext/vae_sensitivity/ext_V_BETA_HIGH_vae_s42/best.pt,data/cache/zinc_latent_cache_ext_vae_highbeta_s42.pt
complete_pass,ext_vae_latent128_drift_qed_s42,Latent-128 VAE,downstream DriftingMol architecture check using a narrower latent bottleneck,ext_V_LATENT128_vae_s42,0.9435,0.9922,alpha=3.0,pass,0.42136006464431075,0.13848668675554096,0.6278630186501264,1.0,0.9651,0.9995855351777018,0.8811608677607501,,outputs/publication_ext/vae_drift/ext_vae_latent128_drift_qed_s42,configs/publication_ext/vae_drift/ext_vae_latent128_drift_qed_s42.yaml,outputs/publication_ext/vae_sensitivity/ext_V_LATENT128_vae_s42/best.pt,data/cache/zinc_latent_cache_ext_vae_latent128_s42.pt
complete_pass,ext_vae_dec6_drift_qed_s42,Decoder-6 VAE,downstream DriftingMol architecture check using a deeper decoder,ext_V_DEC6_vae_s42,0.5645,0.9804,alpha=5.0,pass,0.27156169479769937,0.26525998161413417,0.41642194946727595,1.0,0.9777,1.0,0.9034979847338434,,outputs/publication_ext/vae_drift/ext_vae_dec6_drift_qed_s42,configs/publication_ext/vae_drift/ext_vae_dec6_drift_qed_s42.yaml,outputs/publication_ext/vae_sensitivity/ext_V_DEC6_vae_s42/best.pt,data/cache/zinc_latent_cache_ext_vae_dec6_s42.pt
