status,manifest_group,root,experiment,variant,condition,seed,alpha,score_key,spearman_rho,avg_spearman_rho,vun,uniqueness,avg_uniqueness,min_uniqueness,validity,novelty,mae,avg_mae,slope,avg_slope,protocol,warning,output_dir,actual_mean,actual_std,avg_tanimoto,bin_summary,int_div,intercept,logp_mae,logp_mean,logp_rho,logp_slope,logp_std,logp_uniqueness,mae_tail_avg,mae_tail_hi,mae_tail_lo,min_bin_uniqueness,min_spearman_rho,molwt_mae,molwt_rho,molwt_slope,molwt_uniqueness,mw_mean,mw_std,n_unique_scaffolds,nn_sim_mean,num_generated,pearson_r,qed_mae,qed_mean,qed_rho,qed_slope,qed_std,qed_uniqueness,sa_mean,sa_score_mae,sa_score_rho,sa_score_slope,sa_score_uniqueness,sa_std,scaffold_diversity,spearman_pval,target_mean
complete_pass,,final,exp_A1_multi4,A1,multi4,42,alpha=2.0,avg_spearman_rho,,0.06856549280646791,,,0.7987594559455945,0.7854785478547854,,,,21.81775498623864,,0.06630257163796564,"multi4, pos=hybrid, bin=on",legacy_multi4_qed_binning,outputs/final/exp_A1_multi4,,,,,,,1.749294853802601,,0.001623681495985019,-0.0007413695989417232,,0.7854785478547854,,,,,-0.07536523426908205,83.28109429537315,-0.021020452029443824,-0.058439777625613684,0.8064806480648065,,,,,,,0.3224318711423563,,0.36902397602841247,0.40344598655712754,,0.8168,,1.918198924636454,-0.07536523426908205,-0.07905455278070955,0.7862786278627862,,,,
complete_pass,,final,exp_A2_multi4,A2,multi4,42,alpha=5.0,avg_spearman_rho,,0.07284717226106605,,,0.8681375612561256,0.7434743474347435,,,,25.893444662529312,,0.11221901732146218,"multi4, pos=prop, bin=on",legacy_multi4_qed_binning,outputs/final/exp_A2_multi4,,,,,,,1.7395508275567406,,0.025549636084379792,0.04303102876463073,,0.7434743474347435,,,,,-0.026276041123018647,100.28315315319986,0.09512820159362062,0.1513237123669215,0.9680968096809681,,,,,,,0.2235214156643622,,0.1969868924892824,0.2666760142282262,,0.9701,,1.3275532536962846,-0.026276041123018647,-0.012154686073929692,0.7908790879087909,,,,
complete_fail,,final,exp_A3_multi4,A3,multi4,42,alpha=1.0,avg_spearman_rho,,0.07474605021793358,,,0.008100580058005801,0.007100710071007101,,,,53.06137844847016,,-0.09732802470457433,"multi4, pos=hybrid, bin=on",legacy_multi4_qed_binning; quality_gate_failed,outputs/final/exp_A3_multi4,,,,,,,2.3710500354431714,,-0.7848976637672451,-0.7388072034732488,,0.007500750075007501,,,,,-0.7848976637672451,208.41900171172514,0.19393015212960713,0.12640180341300597,0.008600860086008601,,,,,,,0.25244009050252336,,0.5140264257339134,0.19273537580019173,,0.0092,,1.2030219562097901,0.3759252867754589,0.030357925441753718,0.007100710071007101,,,,
complete_fail,,final,exp_A4_multi4,A4,multi4,42,alpha=1.5,avg_spearman_rho,,0.1254779616838847,,,0.0113756100610061,0.0079007900790079,,,,52.08946569705789,,0.0155492858472789,"multi4, pos=hybrid, bin=on",legacy_multi4_qed_binning; quality_gate_failed,outputs/final/exp_A4_multi4,,,,,,,1.746489735570944,,-0.15898952090667162,-0.2496570813693406,,0.008000800080008,,,,,-0.15898952090667162,205.29015692724667,0.027131711772908785,0.06839868650306379,0.008500850085008501,,,,,,,0.2508710860717224,,0.4431731916431819,0.1718023322306768,,0.0211,,1.070345039342222,0.19059646422611978,0.07165320602471559,0.0079007900790079,,,,
complete_pass,,final,exp_A6_multi4,A6,multi4,42,alpha=3.0,avg_spearman_rho,,0.3866429286127738,,,0.9274441419141914,0.9024902490249025,,,,13.596537440361626,,0.5425478167151606,"multi4, pos=hybrid, bin=on",legacy_multi4_qed_binning,outputs/final/exp_A6_multi4,,,,,,,1.3841929085454556,,0.2008990060712367,0.2037132647799793,,0.9024902490249025,,,,,0.2008990060712367,51.609153301505735,0.6649684842749203,0.9432827590791433,0.9518951895189519,,,,,,,0.1923866464649533,,0.4315047796153269,0.6718207194171951,,0.9441,,1.200416904930357,0.2491994444896113,0.3513745235843248,0.9112911291129113,,,,
complete_pass,,final,exp_A8_multi4,A8,multi4,42,alpha=5.0,avg_spearman_rho,,0.3708222391261278,,,0.7301281103110311,0.630963096309631,,,,15.28634626120381,,0.5423745846630483,"multi4, pos=hybrid, bin=on",legacy_multi4_qed_binning,outputs/final/exp_A8_multi4,,,,,,,1.3274339604907988,,0.31932969235602343,0.2992486512677214,,0.6773677367736773,,,,,0.0481152698285979,58.3937288392353,0.6502422603832105,1.0745786009878031,0.8160816081608161,,,,,,,0.19157486743822386,,0.4656017339366793,0.7449670670979565,,0.7961,,1.2326473776509221,0.0481152698285979,0.050704019298712086,0.630963096309631,,,,
complete_pass,,final,exp_B1_multi4,B1,multi4,42,alpha=5.0,avg_spearman_rho,,0.2741757005259984,,,0.81348200070007,0.5974597459745975,,,,28.74343173784263,,0.42587072828646116,"multi4, pos=prop, bin=on",legacy_multi4_qed_binning,outputs/final/exp_B1_multi4,,,,,,,1.8964531723177978,,-0.07633774565753017,-0.1253310025333607,,0.8917891789178918,,,,,-0.07633774565753017,111.90952814025913,0.3561104265480468,0.4763761494506075,0.7907790779077908,,,,,,,0.236147076049058,,0.20514953554306256,0.2950253232705675,,0.9739,,0.9315985627445339,0.6117805856704144,1.0574124429580303,0.5974597459745975,,,,
complete_fail,,final,exp_B2_multi4,B2,multi4,42,alpha=1.5,avg_spearman_rho,,-0.02287292981922278,,,0.040528022802280225,0.039903990399039906,,,,51.83398639281808,,-0.012359836516050327,"multi4, pos=hybrid, bin=on",legacy_multi4_qed_binning; quality_gate_failed,outputs/final/exp_B2_multi4,,,,,,,1.248757601353201,,0.0574774150964896,0.019228296913324176,,0.039903990399039906,,,,,-0.06921168136488277,204.8863757491289,-0.051527785729811156,-0.010999014696619293,0.0407040704070407,,,,,,,0.2478568165689338,,-0.06921168136488277,-0.023374952526778535,,0.0412,,0.9529554042213115,-0.028229667278686782,-0.03429367575412766,0.04030403040304031,,,,
complete_pass,,final,exp_B3_multi4,B3,multi4,42,alpha=5.0,avg_spearman_rho,,0.008835156694252583,,,0.9402954595459545,0.9347934793479348,,,,22.897679229472015,,0.011502327692398997,"multi4, pos=hybrid, bin=on",legacy_multi4_qed_binning,outputs/final/exp_B3_multi4,,,,,,,1.7382238508898527,,-0.009296887948960155,-0.014675375600686942,,0.9347934793479348,,,,,-0.009296887948960155,87.54367914588704,0.0013239209485636026,0.004669047755643503,0.944994499449945,,,,,,,0.3031691330393006,,0.04610464416264233,0.059105383841828826,,0.9428,,2.00564478807186,-0.002791050385235442,-0.0030897452271893945,0.9385938593859386,,,,
complete_pass,,final,exp_F_multi4,F,multi4,42,alpha=3.0,avg_spearman_rho,,0.36252678125870863,,,0.919668109310931,0.8809880988098809,,,,13.395945747660509,,0.5099995705556762,"multi4, pos=hybrid, bin=on",legacy_multi4_qed_binning,outputs/final/exp_F_multi4,,,,,,,1.411315566112396,,0.1477196935060338,0.14240235291356249,,0.8817881788178817,,,,,0.1477196935060338,50.88461971877735,0.6855931641307309,0.973090985957542,0.9615961596159616,,,,,,,0.18606978555319426,,0.44883212818757584,0.7092487198538244,,0.9543,,1.1017779201990938,0.1679621392104939,0.2152562234977761,0.8809880988098809,,,,
complete_pass,,final_phi,exp_C1_multi4,C1,multi4,42,alpha=3.0,avg_spearman_rho,,0.07638898426779953,,,0.8258335039278925,0.7682762899389929,,,,25.551358593274,,0.16353438244208174,"multi4, pos=hybrid, bin=on",legacy_multi4_qed_binning,outputs/final_phi/exp_C1_multi4,,,,,,,1.7033889792055064,,0.008839591310960626,0.07508681262910796,,0.7991799179917992,,,,,-0.1321583359216927,98.90326813928341,0.24513962351783394,0.47316849824282664,0.7780778077807781,,,,,,,0.24319831405655204,,0.18373505816409627,0.2448001472890448,,0.9578,,1.355578940550522,-0.1321583359216927,-0.13891792839265246,0.7682762899389929,,,,
complete_pass,,final_phi,exp_C2_multi4,C2,multi4,42,alpha=5.0,avg_spearman_rho,,0.10810032344684584,,,0.9262906408432869,0.8748747745942697,,,,22.91953548921749,,0.19166124861012865,"multi4, pos=hybrid, bin=on",legacy_multi4_qed_binning,outputs/final_phi/exp_C2_multi4,,,,,,,1.7496785334536449,,0.04243530785704514,0.025476311854556802,,0.920992099209921,,,,,-0.21985339788642652,88.09781730707863,0.2883400421279761,0.5399747800667148,0.9568956895689569,,,,,,,0.25467396644230184,,0.32147934168878867,0.5042719134118496,,0.9524,,1.5759721498953854,-0.21985339788642652,-0.30307801089260666,0.8748747745942697,,,,
complete_pass,,final_phi,exp_C3_multi4,C3,multi4,42,alpha=5.0,avg_spearman_rho,,0.11714479293991359,,,0.8872829574344516,0.8204820482048205,,,,22.946267455982312,,0.3019235659435063,"multi4, pos=hybrid, bin=on",legacy_multi4_qed_binning,outputs/final_phi/exp_C3_multi4,,,,,,,1.762749983689595,,-0.0441737275776313,-0.06263226055552366,,0.950995099509951,,,,,-0.19082789374660578,88.40241339775459,0.5300736494582606,1.3234654606995646,0.8204820482048205,,,,,,,0.22894543292462605,,0.17350714362563083,0.2076916299784172,,0.9412,,1.390961009560438,-0.19082789374660578,-0.2608305663484331,0.8364546820230345,,,,
complete_pass,,final_phi,exp_C4_multi4,C4,multi4,42,alpha=5.0,avg_spearman_rho,,0.325825853399537,,,0.8755628687868787,0.7465746574657466,,,,14.050792207820978,,0.4084075777287287,"multi4, pos=hybrid, bin=on",legacy_multi4_qed_binning,outputs/final_phi/exp_C4_multi4,,,,,,,1.671389681840389,,-0.08176300929328709,-0.11662186555706944,,0.9868986898689869,,,,,-0.08176300929328709,52.8126782481776,0.5820494808863802,0.542655250552928,0.7465746574657466,,,,,,,0.2055614899374885,,0.23155545734678418,0.3343752983804018,,0.9875,,1.513539411328434,0.5714614846582707,0.8732216275386543,0.7812781278127813,,,,
complete_pass,,final_phi,exp_C5_multi4,C5,multi4,42,alpha=5.0,avg_spearman_rho,,0.17460410953810696,,,0.9782734323432344,0.9758,,,,16.552625776942172,,0.19229824644328225,"multi4, pos=hybrid, bin=on",legacy_multi4_qed_binning,outputs/final_phi/exp_C5_multi4,,,,,,,1.5038295197125957,,0.12788797361085932,0.12666718481844327,,0.9764976497649765,,,,,-0.03238893196004681,63.12628827878517,0.3446463314688112,0.2768148159143909,0.9842984298429843,,,,,,,0.20363130011338654,,0.25827106503280417,0.38603900291594323,,0.9758,,1.3767540091575314,-0.03238893196004681,-0.02032801787564831,0.9764976497649765,,,,
complete_pass,,final_v2,exp_A2_multi4_v2,A2,multi4,42,alpha=5.0,avg_spearman_rho,,0.3767238710624815,,,0.9828732873287328,0.9785978597859786,,,,14.976630493475795,,0.49902362088147867,"multi4, pos=prop, bin=off, v2",,outputs/final_v2/exp_A2_multi4_v2,,,,,,,1.2822327905474176,,0.49644191844549934,0.6319877942681357,,0.982998299829983,,,,,0.18751885167192367,56.82896506896174,0.5523838392297493,0.7084250016197213,0.9826982698269827,,,,,,,0.24164999922168776,,0.18751885167192367,0.27991448884187375,,0.9785978597859786,,1.5536741151723352,0.2705508749027536,0.3757671987961839,0.9871987198719872,,,,
complete_pass,,final_v2,exp_A6_multi4_v2,A6,multi4,42,alpha=5.0,avg_spearman_rho,,0.5984688209865062,,,0.9321682168216822,0.8817881788178817,,,,15.967338163471432,,0.92878747450801,"multi4, pos=prop, bin=off, v2",,outputs/final_v2/exp_A6_multi4_v2,,,,,,,1.0588020445117945,,0.7082098926540538,0.9246362586548342,,0.9561956195619562,,,,,0.3667038134979589,61.194179204877315,0.7899698994848451,1.4750400389456548,0.8817881788178817,,,,,,,0.19751481408138052,,0.3667038134979589,0.5695334953074443,,0.9456945694569457,,1.418856590415236,0.528991678309167,0.745940105124107,0.944994499449945,,,,
complete_pass,,final_v2,exp_A8_multi4_v2,A8,multi4,42,alpha=5.0,avg_spearman_rho,,0.5798890606787159,,,0.7738773877387739,0.7278727872787278,,,,14.672729351662527,,0.8619450638034587,"multi4, pos=prop, bin=off, v2",,outputs/final_v2/exp_A8_multi4_v2,,,,,,,1.0422718410393081,,0.6815389753927309,0.846540838594349,,0.7921792179217921,,,,,0.3150506239548672,56.12307113371866,0.7932148162069731,1.370688181306222,0.7278727872787278,,,,,,,0.2067010071758331,,0.3150506239548672,0.47537940348138613,,0.7781778177817782,,1.318873424716309,0.5297518271602925,0.7551718318318776,0.7972797279727972,,,,
complete_pass,,final_v2,exp_B1_multi4_v2,B1,multi4,42,alpha=5.0,avg_spearman_rho,,0.37319084115863954,,,0.9772477247724773,0.9696969696969697,,,,16.2018504668083,,0.5261400720347783,"multi4, pos=prop, bin=off, v2",,outputs/final_v2/exp_B1_multi4_v2,,,,,,,1.3729336262899445,,0.505568018510141,0.714695457271083,,0.9785978597859786,,,,,0.18681009367621,61.713735932669216,0.51799445503363,0.720300421017507,0.978097809780978,,,,,,,0.24545630223465437,,0.18681009367621,0.26007255460545786,,0.9696969696969697,,1.475276006039385,0.2823907974145772,0.4094918552450652,0.9825982598259826,,,,
complete_pass,,final_v2,exp_B3_multi4_v2,B3,multi4,42,alpha=2.0,avg_spearman_rho,,-0.00779318605153697,,,0.9784728472847285,0.9756975697569757,,,,23.62571959335066,,-0.007495628074181907,"multi4, pos=prop, bin=off, v2",,outputs/final_v2/exp_B3_multi4_v2,,,,,,,1.6793571162431786,,-0.03632689056843845,-0.03847556422580262,,0.9796979697969797,,,,,-0.03632689056843845,91.16523107959601,0.01470511115848973,0.016631201161451493,0.9785978597859786,,,,,,,0.22439993469828587,,-0.01607830628231987,-0.017433643661661054,,0.9756975697569757,,1.4338902428651592,0.006527341486120716,0.009295494429284554,0.9798979897989799,,,,
complete_pass,,final_v2,exp_F_multi4_v2,F,multi4,42,alpha=5.0,avg_spearman_rho,,0.5595503604180686,,,0.9476447644764476,0.9145914591459146,,,,16.609527131825846,,0.8715556872112211,"multi4, pos=prop, bin=off, v2",,outputs/final_v2/exp_F_multi4_v2,,,,,,,1.0900213793998732,,0.6375531120332633,0.7821604501361444,,0.9628962896289629,,,,,0.32284493875495063,63.74840410997282,0.7897566954310852,1.489123695883284,0.9145914591459146,,,,,,,0.21511520196514966,,0.32284493875495063,0.5118206360566028,,0.9588958895889589,,1.3845678359655436,0.4880466954529754,0.7031179667688533,0.9541954195419542,,,,
