status,experiment,variant,display,purpose,exact_recon,token_acc,prior_validity,prior_uniqueness,prior_novelty,prior_vun,output_dir,config,command
complete_pass,ext_V_BETA_HIGH_vae_s42,V_BETA_HIGH,High beta,higher beta tests whether stronger regularization weakens conditional control,0.184,0.8980931043624878,1.0,0.9856,1.0,0.9856,outputs/publication_ext/vae_sensitivity/ext_V_BETA_HIGH_vae_s42,configs/publication_ext/vae_sensitivity/ext_V_BETA_HIGH_vae_s42.yaml,python -m src.train.train_selfies_vae --config configs/publication_ext/vae_sensitivity/ext_V_BETA_HIGH_vae_s42.yaml
complete_pass,ext_V_BETA_LOW_vae_s42,V_BETA_LOW,Low beta,lower beta tests whether a more information-rich latent changes prior quality,0.969,0.9983429908752441,1.0,0.9882,1.0,0.9882,outputs/publication_ext/vae_sensitivity/ext_V_BETA_LOW_vae_s42,configs/publication_ext/vae_sensitivity/ext_V_BETA_LOW_vae_s42.yaml,python -m src.train.train_selfies_vae --config configs/publication_ext/vae_sensitivity/ext_V_BETA_LOW_vae_s42.yaml
complete_pass,ext_V_DEC6_vae_s42,V_DEC6,Decoder-6,decoder-capacity sensitivity with a deeper decoder,0.5645,0.964868426322937,1.0,0.9804,1.0,0.9804,outputs/publication_ext/vae_sensitivity/ext_V_DEC6_vae_s42,configs/publication_ext/vae_sensitivity/ext_V_DEC6_vae_s42.yaml,python -m src.train.train_selfies_vae --config configs/publication_ext/vae_sensitivity/ext_V_DEC6_vae_s42.yaml
complete_pass,ext_V_LATENT128_vae_s42,V_LATENT128,Latent-128,latent dimension sensitivity with a narrower latent bottleneck,0.9435,0.9972071051597595,1.0,0.9922,1.0,0.9922,outputs/publication_ext/vae_sensitivity/ext_V_LATENT128_vae_s42,configs/publication_ext/vae_sensitivity/ext_V_LATENT128_vae_s42.yaml,python -m src.train.train_selfies_vae --config configs/publication_ext/vae_sensitivity/ext_V_LATENT128_vae_s42.yaml
