status,group,experiment,display,target_property,purpose,seed,alpha,spearman_rho,validity,uniqueness,novelty,mae,slope,success_0p10,warning,output_dir,config,command
complete_pass,continuous_conditioning,ext_G4_qed_continuous_s42,QED continuous control,qed,tests whether QED control is caused by quantile-bin conditioning rather than continuous target guidance,42,alpha=5.0,0.3437913990620816,1.0,0.9901990199019902,1.0,0.20968845109203857,0.5159880071139881,,,outputs/publication_ext/reviewer_extra/ext_G4_qed_continuous_s42,configs/publication_ext/reviewer_extra/ext_G4_qed_continuous_s42.yaml,python -m src.train.train_selfies_cfg --config configs/publication_ext/reviewer_extra/ext_G4_qed_continuous_s42.yaml
complete_pass,single_property_seed_extension,ext_G4_logp_qed_s43,"LogP transfer, seed 43",logp,second-seed LogP transfer check for single-property generalization,43,alpha=5.0,0.6344389809872119,1.0,0.9832,0.999593165174939,0.9609816704100594,0.6720519193379638,,,outputs/publication_ext/reviewer_extra/ext_G4_logp_qed_s43,configs/publication_ext/reviewer_extra/ext_G4_logp_qed_s43.yaml,python -m src.train.train_selfies_cfg --config configs/publication_ext/reviewer_extra/ext_G4_logp_qed_s43.yaml
complete_pass,single_property_seed_extension,ext_G4_sa_qed_s43,"SA transfer, seed 43",sa_score,second-seed SA-score transfer check for single-property generalization,43,alpha=3.0,0.44023798294851596,1.0,0.9891,0.9996966939642099,0.9465648599830149,0.6029903656815637,,,outputs/publication_ext/reviewer_extra/ext_G4_sa_qed_s43,configs/publication_ext/reviewer_extra/ext_G4_sa_qed_s43.yaml,python -m src.train.train_selfies_cfg --config configs/publication_ext/reviewer_extra/ext_G4_sa_qed_s43.yaml
complete_pass,vae_drift_seed_extension,ext_vae_lowbeta_drift_qed_s43,"Low-beta VAE drift, seed 43",qed,second generator seed for the strongest live alternative-VAE downstream drift line,43,alpha=3.0,0.42933147179514203,1.0,0.9717,0.9995883503138829,0.15270360027574176,0.6748952760850581,,,outputs/publication_ext/reviewer_extra/ext_vae_lowbeta_drift_qed_s43,configs/publication_ext/reviewer_extra/ext_vae_lowbeta_drift_qed_s43.yaml,test -f outputs/publication_ext/vae_sensitivity/ext_V_BETA_LOW_vae_s42/final_metrics.json && if [ ! -f data/cache/zinc_latent_cache_ext_vae_lowbeta_s42.pt ]; then python scripts/build_selfies_latent_cache.py --vae_ckpt outputs/publication_ext/vae_sensitivity/ext_V_BETA_LOW_vae_s42/best.pt --graph_cache data/cache/zinc250k_smiles_cache.pt --output data/cache/zinc_latent_cache_ext_vae_lowbeta_s42.pt --batch_size 2048; fi && python -m src.train.train_selfies_cfg --config configs/publication_ext/reviewer_extra/ext_vae_lowbeta_drift_qed_s43.yaml
